 ,Single Filer,,,Married Filing Jointly,,,Standard Deduction,,Personal Exemption,,, , ,,,,,,
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent,,,,,,,,
Vt.,3.35%,>,$0 ,3.35%,>,$0 ,"$7,650 ","$15,300 ","$5,300 ","$10,600 ","$5,300 ",,,,,,,,
"(j, n, hh, mm)",6.60%,>,"$49,400 ",6.60%,>,"$82,500 ", ,, ,,,,,,,,,,
 ,7.60%,>,"$119,700 ",7.60%,>,"$199,450 ", ,, ,,,,,,,,,,
,8.75%,>,"$249,700 ",8.75%,>,"$304,000 ", ,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Va.,2.00%,>,$0 ,2.00%,>,$0 ,"$8,750 ","$17,500 ",$930 ,"$1,860 ",$930 ,,,,,,,,
(m)  ,3.00%,>,"$3,000 ",3.00%,>,"$3,000 ", ,,,,,,,,,,,,
,5.00%,>,"$5,000 ",5.00%,>,"$5,000 ", ,, ,,,,,,,,,,
,5.75%,>,"$17,000 ",5.75%,>,"$17,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
"Wash. (n, ss, tt)",Capital gains income only,,,,,,,,,,,,,,,,,,
,7%,>,$0 ,7%,>,$0 ,"$278,000 ","$278,000 ",n.a.,n.a.,n.a.,,,,,,,,
,9%,>,"$1,000,000 ",9%,>,"$1,000,000 ", , , ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
W.Va. ,2.22%,>,$0 ,2.22%,>,$0 ,n.a.,n.a.,"$2,000 ","$4,000 ","$2,000 ",,,,,,,,
"(a, m)",2.96%,>,"$10,000 ",2.96%,>,"$10,000 ", ,,,,,,,,,,,,
,3.33%,>,"$25,000 ",3.33%,>,"$25,000 ", ,, ,,,,,,,,,,
,4.44%,>,"$40,000 ",4.44%,>,"$40,000 ", ,, ,,,,,,,,,,
,4.82%,>,"$60,000 ",4.82%,>,"$60,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Wis.,3.50%,>,$0 ,3.50%,>,$0 ,"$13,960 ","$25,840 ",$700 ,"$1,400 ",$700 ,,,,,,,,
"(d, m, bb, ii)",4.40%,>,"$15,110 ",4.40%,>,"$20,150 ", ,, ,,,,,,,,,,
,5.30%,>,"$51,950 ",5.30%,>,"$69,260 ", ,, ,,,,,,,,,,
,7.65%,>,"$332,720 ",7.65%,>,"$443,630 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Wyo.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
D.C.,4.00%,>,$0 ,4.00%,>,$0 ,"$16,100 ","$32,200 ",n.a.,n.a.,n.a.,,,,,,,,
(u),6.00%,>,"$10,000 ",6.00%,>,"$10,000 ", ,, ,,,,,,,,,,
,6.50%,>,"$40,000 ",6.50%,>,"$40,000 ", ,, ,,,,,,,,,,
,8.50%,>,"$60,000 ",8.50%,>,"$60,000 ", ,, ,,,,,,,,,,
,9.25%,>,"$250,000 ",9.25%,>,"$250,000 ", ,, ,,,,,,,,,,
,9.75%,>,"$500,000 ",9.75%,>,"$500,000 ", ,, ,,,,,,,,,,
,10.75%,>,"$1,000,000 ",10.75%,>,"$1,000,000 ", ,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"(a) Local income taxes are excluded. Ten states have county- or city-level income taxes; the average effective rates expressed as a percentage of AGI within each jurisdiction (data for 2023, the latest year available, come from the IRS, the U.S. Census Bureau, and grossed up using data from the Bureau of Economic Analysis) are: AL--0.07%; IN--0.35%; IA--0.08%; KY--0.93%; MD--2.4%; MI--0.16%; MO--0.18%; NY--1.60%; OH--1.2%; OR--0.18%; PA--0.99%. In CA, CO, DE, KS, NJ, OR, and WV some jurisdictions have payroll taxes, flat-rate wage taxes, or interest and dividend income taxes. See Jared Walczak, Janelle Fritts, and Maxwell James, “Local Income Taxes: A Primer,” Tax Foundation, February 23, 2023, https://taxfoundation.org/local-income-taxes-2023/.",,,,,,,,,,,,,,,,,,,
(b) These states allow some or all of federal income tax paid to be deducted from state taxable income.,,,,,,,,,,,,,,,,,,,
"(c) For single taxpayers with AGI not exceeding $25,499, the standard deduction is $3,000. This standard deduction amount is reduced by $25 for every additional $500 of AGI, not to fall below $2,500. For Married Filing Joint (MFJ) taxpayers with AGI not exceeding $25,999, the standard deduction is $8,500. This standard deduction amount is reduced by $175 for every additional $500 of AGI, not to fall below $5,000. For all taxpayers with AGI of $50,000 or less and claiming a dependent, the dependent exemption is $1,000. This amount is reduced to $500 per dependent for taxpayers with AGI above $50,000 and equal to or less than $100,000. For taxpayers with more than $100,000 in AGI, the dependent exemption is $300 per dependent.",,,,,,,,,,,,,,,,,,,
(d) Standard deduction and/or personal exemption is adjusted annually for inflation. Inflation-adjusted amounts for tax year 2026 are shown.,,,,,,,,,,,,,,,,,,,
(e) Arizona's standard deduction can be adjusted upward by an amount equal to 34 percent (as of TY 2025) of the amount the taxpayer would have claimed in charitable deductions if the taxpayer had claimed itemized deductions.,,,,,,,,,,,,,,,,,,,
"(f) In lieu of a dependent exemption, Arizona offers a dependent tax credit of $100 per dependent under the age of 17 and $25 per dependent age 17 and older. The credit begins to phase out for taxpayers with federal adjusted gross income (FAGI) above $200,000 (single filers) or $400,000 (MFJ).",,,,,,,,,,,,,,,,,,,
